PLAYER,PTS,STL,AST,TOV
A'ja Wilson,23.4,1.6,3.1,2.2
Napheesa Collier,22.9,1.6,3.2,2.1
Kelsey Mitchell,20.2,0.9,3.4,1.8
Kelsey Plum,19.5,1.2,5.7,3.0
Paige Bueckers,19.2,1.6,5.4,2.0
Dearica Hamby,18.4,1.6,3.3,2.7
Allisha Gray,18.4,1.1,3.5,1.8
Breanna Stewart,18.3,1.4,3.5,1.9
Nneka Ogwumike,18.3,1.1,2.3,1.9
Sabrina Ionescu,18.2,1.3,5.7,2.6
Rhyne Howard,17.5,1.5,4.6,1.7
Jackie Young,16.5,1.3,5.1,2.2
Satou Sabally,16.3,1.3,2.5,2.0
Tina Charles,16.3,0.8,1.7,1.9
Skylar Diggins,15.5,1.2,6.0,2.1
Alyssa Thomas,15.4,1.6,9.2,3.5
Aliyah Boston,15.0,1.2,3.7,1.8
Sonia Citron,14.9,1.3,2.4,2.1
Rickea Jackson,14.7,0.6,1.7,2.1
Marina Mabrey,14.4,0.7,4.0,2.8
Kayla McBride,14.2,1.3,3.5,1.7
Brittney Sykes,14.1,1.2,4.0,2.5
Jonquel Jones,13.6,0.5,2.7,2.1
Courtney Williams,13.6,1.3,6.2,2.3
Kamilla Cardoso,13.6,0.4,2.5,2.4
Kiki Iriafen,13.3,0.6,1.6,2.2
Ariel Atkins,13.1,1.6,3.6,2.5
Brionna Jones,12.8,1.1,2.2,1.5
Azurá Stevens,12.8,1.2,2.1,1.5
Shakira Austin,12.7,1.1,1.8,2.4
Veronica Burton,11.9,1.1,6.0,2.1
Gabby Williams,11.6,2.3,4.2,1.9
Natasha Howard,11.4,1.2,1.5,1.9
Janelle Salaün,11.3,0.6,1.2,1.5
Chelsea Gray,11.2,1.4,5.4,2.8
Jewell Loyd,11.2,1.2,1.8,1.2
Erica Wheeler,10.3,1.3,3.3,1.5
Natasha Cloud,10.1,1.2,5.1,1.9
DeWanna Bonner,9.8,0.8,1.2,0.8
Brittney Griner,9.8,0.1,0.8,1.5
DiJonai Carrington,9.8,1.1,1.5,1.9
Alanna Smith,9.6,1.3,2.9,1.5
Sami Whitcomb,9.1,0.8,2.5,1.6
Natisha Hiedeman,9.1,0.7,2.8,1.2
Rachel Banham,9.0,0.6,2.7,1.6
Bria Hartley,8.9,0.8,3.1,1.8
Saniya Rivers,8.8,1.5,2.7,1.5
Leonie Fiebich,8.7,0.9,1.7,1.2
Naz Hillmon,8.6,0.5,2.4,1.1
Elizabeth Williams,8.5,0.7,1.8,1.3
Olivia Nelson-Ododa,8.2,0.7,0.9,1.1
Kennedy Burke,8.1,0.8,1.3,0.9
Ezi Magbegor,8.0,0.7,2.1,1.0
Jessica Shepard,8.0,0.5,2.6,1.5
Dominique Malonga,7.7,0.4,0.9,1.1
Monique Akoa Makani,7.7,0.8,2.7,1.3
Aneesah Morrow,7.7,0.8,0.5,1.1
NaLyssa Smith,7.6,0.6,0.7,1.1
Myisha Hines-Allen,7.6,0.8,2.9,2.2
Aziaha James,7.5,0.6,1.6,1.0
Temi Fágbénlé,7.4,0.9,1.6,1.5
Sug Sutton,7.4,0.8,3.9,1.9
Carla Leite,7.2,0.7,2.0,1.5
Lexie Hull,7.2,1.2,1.8,0.9
Kia Nurse,7.2,0.3,1.3,1.3
Dana Evans,6.6,0.4,2.2,0.8
Bridget Carleton,6.5,0.8,2.0,0.8
JJ Quinerly,6.5,0.9,2.3,1.5
Marine Johannès,6.4,0.6,1.6,1.2
Kaila Charles,6.4,0.8,1.0,1.1
Kate Martin,6.2,0.4,1.0,0.8
Li Yueru,6.0,0.3,0.9,1.0
Kitija Laksa,5.9,0.4,0.6,0.6
Jade Melbourne,5.9,0.6,2.9,1.7
Michaela Onyenwere,5.8,0.4,1.1,1.3
Te-Hina Paopao,5.8,0.5,2.4,1.0
Maya Caldwell,5.4,0.9,1.8,1.0
Aaliyah Edwards,5.4,0.6,0.6,1.1
Julie Allemand,5.4,1.3,5.0,1.6
Lexi Held,5.3,0.7,1.1,0.9
Kathryn Westbeld,5.1,0.8,0.9,0.6
Rebecca Allen,5.1,0.5,1.3,0.9
Isabelle Harrison,4.9,0.6,0.7,0.7
Natasha Mack,4.7,0.9,0.9,0.4
Damiris Dantas,4.6,0.2,0.7,0.8
Maria Kliundikova,4.4,0.7,0.6,0.7
Kierstan Bell,4.2,0.4,0.7,0.5
Lucy Olsen,4.0,0.4,1.2,0.5
Diamond Miller,4.0,0.3,0.8,0.9
Alysha Clark,3.9,0.6,1.2,0.5
Nia Coffey,3.9,0.2,1.0,0.7
Aaliyah Nye,3.8,0.3,0.5,0.6
Stefanie Dolson,3.7,0.3,1.4,0.7
Rebekah Gardner,3.7,0.6,0.6,0.6
Emily Engstler,3.7,0.7,1.5,1.0
Tiffany Mitchell,3.2,0.4,0.3,0.6
Sarah Ashlee Barker,3.1,0.3,0.9,1.1
Stephanie Talbot,2.9,0.5,1.7,1.1
Julie Vanloo,2.8,0.4,1.9,1.4
Makayla Timpson,2.6,0.4,0.0,0.3
Lindsay Allen,2.4,0.3,2.0,1.0
Haley Peters,2.1,0.3,0.8,0.7
Shatori Walker-Kimbrough,1.7,0.2,0.5,0.4
Kiah Stokes,1.1,0.4,0.4,0.4
